import time: self [us] | cumulative | imported package
import time:       368 |        575 |                                 scipy._lib.array_api_extra._lib._utils._helpers
import time:      1142 |       2723 |                               scipy._lib.array_api_extra._lib._at
import time:       334 |       3057 |                             scipy._lib.array_api_extra._lib._funcs
import time:       287 |       3448 |                           scipy._lib.array_api_extra._delegation
import time:       198 |        198 |                           scipy._lib.array_api_extra._lib._lazy
import time:       182 |       3827 |                         scipy._lib.array_api_extra
import time:       294 |       4121 |                       scipy._lib.array_api_extra.testing
import time:       393 |        393 |                           pkgutil
import time:      1296 |       1689 |                         pydoc
import time:      1404 |       3092 |                       scipy._lib._docscrape
import time:       882 |      86458 |                     scipy._lib._array_api
import time:       945 |      87402 |                   scipy._lib._util
import time:      1405 |      88807 |                 scipy.sparse._sputils
import time:       181 |        181 |                 scipy.sparse._matrix
import time:       638 |      89626 |               scipy.sparse._base
import time:       339 |        339 |                 scipy.sparse._sparsetools
import time:       258 |        258 |                   scipy.sparse._data
import time:       199 |        199 |                   scipy.sparse._index
import time:       429 |        885 |                 scipy.sparse._compressed
import time:       308 |       1530 |               scipy.sparse._csr
import time:       235 |        235 |               scipy.sparse._csc
import time:       786 |        786 |                 scipy.sparse._csparsetools
import time:       304 |       1090 |               scipy.sparse._lil
import time:       400 |        400 |               scipy.sparse._dok
import time:       581 |        581 |               scipy.sparse._coo
import time:       272 |        272 |               scipy.sparse._dia
import time:       324 |        324 |               scipy.sparse._bsr
import time:       172 |        172 |                 scipy._lib.deprecation
import time:      2135 |       2306 |               scipy.sparse._construct
import time:       149 |        149 |               scipy.sparse._extract
import time:       163 |        163 |               scipy.sparse._matrix_io
import time:       134 |        134 |               scipy.sparse.base
import time:       101 |        101 |               scipy.sparse.bsr
import time:        98 |         98 |               scipy.sparse.compressed
import time:       101 |        101 |               scipy.sparse.construct
import time:        93 |         93 |               scipy.sparse.coo
import time:        88 |         88 |               scipy.sparse.csc
import time:        86 |         86 |               scipy.sparse.csr
import time:        87 |         87 |               scipy.sparse.data
import time:        90 |         90 |               scipy.sparse.dia
import time:       108 |        108 |               scipy.sparse.dok
import time:        92 |         92 |               scipy.sparse.extract
import time:        90 |         90 |               scipy.sparse.lil
import time:        88 |         88 |               scipy.sparse.sparsetools
import time:        91 |         91 |               scipy.sparse.sputils
import time:       716 |      98726 |             scipy.sparse
import time:       623 |      99349 |           scipy.spatial._ckdtree
import time:       345 |      99694 |         scipy.spatial._kdtree
import time:       229 |        229 |           scipy._lib.messagestream
import time:      2837 |       2837 |                   scipy.linalg._fblas
import time:        59 |         59 |                   scipy.linalg._cblas
import time:       300 |       3195 |                 scipy.linalg.blas
import time:      1433 |       1433 |                   scipy.linalg._flapack
import time:        45 |         45 |                   scipy.linalg._clapack
import time:      1409 |       2886 |                 scipy.linalg.lapack
import time:       302 |       6382 |               scipy.linalg._misc
import time:      1997 |       1997 |                 scipy.linalg.cython_lapack
import time:      1968 |       3965 |               scipy.linalg._cythonized_array_utils
import time:      7603 |       7603 |                 scipy.linalg._decomp
import time:      2880 |       2880 |                 scipy.linalg._decomp_svd
import time:       363 |        363 |                 scipy.linalg._solve_toeplitz
import time:       295 |        295 |                 scipy.linalg._batched_linalg
import time:      5492 |      16631 |               scipy.linalg._basic
import time:       293 |        293 |                 scipy.linalg._decomp_lu_cython
import time:       970 |       1262 |               scipy.linalg._decomp_lu
import time:       958 |        958 |               scipy.linalg._decomp_ldl
import time:      1733 |       1733 |               scipy.linalg._decomp_cholesky
import time:      2052 |       2052 |               scipy.linalg._decomp_qr
import time:      2150 |       2150 |               scipy.linalg._decomp_qz
import time:      1642 |       1642 |               scipy.linalg._decomp_schur
import time:       667 |        667 |               scipy.linalg._decomp_polar
import time:      1147 |       1147 |                 scipy.linalg._expm_frechet
import time:       757 |        757 |                 scipy.linalg._matfuncs_schur_sqrtm
import time:       629 |        629 |                 scipy.linalg._matfuncs_expm
import time:       214 |        214 |                 scipy.linalg._linalg_pythran
import time:      3576 |       6321 |               scipy.linalg._matfuncs
import time:      1821 |       1821 |               scipy.linalg._special_matrices
import time:      1530 |       1530 |               scipy.linalg._solvers
import time:      2118 |       2118 |               scipy.linalg._procrustes
import time:       619 |        619 |                 scipy.linalg.cython_blas
import time:      2962 |       3581 |               scipy.linalg._decomp_update
import time:       970 |        970 |               scipy.linalg._sketches
import time:       285 |        285 |               scipy.linalg._decomp_cossin
import time:       137 |        137 |               scipy.linalg.decomp
import time:       127 |        127 |               scipy.linalg.decomp_cholesky
import time:       124 |        124 |               scipy.linalg.decomp_lu
import time:       121 |        121 |               scipy.linalg.decomp_qr
import time:       119 |        119 |               scipy.linalg.decomp_svd
import time:       131 |        131 |               scipy.linalg.decomp_schur
import time:       121 |        121 |               scipy.linalg.basic
import time:       115 |        115 |               scipy.linalg.misc
import time:       121 |        121 |               scipy.linalg.special_matrices
import time:       122 |        122 |               scipy.linalg.matfuncs
import time:      1997 |      57289 |             scipy.linalg
import time:        17 |      57305 |           scipy.linalg.cython_lapack
import time:       801 |      58335 |         scipy.spatial._qhull
import time:       283 |        283 |           scipy.spatial._voronoi
import time:       242 |        524 |         scipy.spatial._spherical_voronoi
import time:       165 |        165 |         scipy.spatial._plotutils
import time:       144 |        144 |         scipy.spatial._procrustes
import time:     12629 |      12629 |               scipy.special._sf_error
